Date,Max_Temp_C,Min_Temp_C,Precipitation_mm,Humidity_pct
2000-01-15,16.5,0.99,0.0,54.15
2000-01-16,17.53,2.62,0.0,42.17
2000-01-17,19.34,2.53,0.0,37.95
2000-01-18,22.66,5.64,0.0,33.98
2000-01-19,23.38,7.11,0.0,35.59
2000-01-20,22.92,8.18,0.0,37.32
2000-01-21,23.43,6.31,0.0,42.24
2000-01-22,24.96,8.11,0.0,49.82
2000-01-23,24.42,7.49,0.0,46.97
2000-01-24,25.22,9.07,0.07,38.58
2000-01-25,23.6,9.59,2.52,52.21
2000-01-26,20.86,6.8,0.0,63.41
2000-01-27,21.17,5.62,0.02,47.88
2000-01-28,22.35,4.67,0.0,38.68
2000-01-29,25.08,7.2,0.0,30.29
2000-01-30,26.59,8.53,0.0,29.91
2000-01-31,23.52,6.91,0.0,34.43
2000-02-01,20.63,6.36,3.36,61.41
2000-02-02,18.93,6.65,0.75,58.38
2000-02-03,21.46,4.28,0.0,48.72
2000-02-04,12.5,6.38,1.68,66.72
2000-02-05,19.07,3.98,0.0,62.57
2000-02-06,20.55,4.53,0.07,65.72
2000-02-07,21.88,5.63,0.0,52.4
2000-02-08,21.97,6.16,0.0,40.23
2000-02-09,19.77,6.6,1.19,50.8
2000-02-10,18.82,6.74,1.45,72.85
2000-02-11,19.35,5.87,2.71,63.78
2000-02-12,19.47,5.02,1.23,59.97
2000-02-13,19.96,3.42,0.0,45.7
2000-02-14,22.83,4.31,0.0,37.03
2000-02-15,24.92,9.95,0.0,33.43
2000-02-16,22.36,6.6,0.0,35.85
2000-02-17,23.31,5.22,0.0,45.25
2000-02-18,22.07,3.75,0.0,33.41
2000-02-19,23.84,5.44,0.03,30.43
2000-02-20,23.01,6.99,0.29,32.19
2000-02-21,22.13,4.75,0.0,32.44
2000-02-22,23.67,7.1,0.0,27.42
2000-02-23,25.11,9.08,0.0,26.38
2000-02-24,24.97,5.1,0.0,28.79
2000-02-25,25.72,8.54,0.0,19.68
2000-02-26,26.42,10.0,0.0,19.35
2000-02-27,27.74,6.84,0.0,23.67
2000-02-28,29.7,8.51,0.0,25.08
2000-02-29,30.04,10.86,0.0,32.07
2000-03-01,29.6,12.64,0.0,35.58
2000-03-02,28.17,9.65,0.0,39.15
2000-03-03,28.53,9.31,0.0,27.64
2000-03-04,23.3,9.6,0.0,30.51
2000-03-05,24.11,6.15,0.0,34.61
2000-03-06,25.43,5.61,0.0,23.47
2000-03-07,27.23,11.52,0.0,19.93
2000-03-08,28.61,8.77,0.0,21.62
2000-03-09,31.38,11.14,0.0,15.36
2000-03-10,29.74,10.75,0.0,18.09
2000-03-11,31.24,13.09,0.0,22.74
2000-03-12,31.54,11.38,0.0,28.4
2000-03-13,29.52,10.75,0.0,20.41
2000-03-14,30.3,11.1,0.0,18.77
2000-03-15,31.82,13.06,0.0,15.75
2001-01-15,22.84,4.31,0.0,39.62
2001-01-16,22.8,7.39,0.0,37.01
2001-01-17,19.48,4.92,0.0,41.22
2001-01-18,20.27,4.48,0.0,40.77
2001-01-19,21.24,6.6,0.0,35.93
2001-01-20,20.9,5.73,0.0,38.18
2001-01-21,21.26,4.68,0.0,37.6
2001-01-22,18.28,3.85,0.0,48.99
2001-01-23,20.39,5.98,0.0,41.58
2001-01-24,21.05,3.05,0.0,39.05
2001-01-25,21.68,5.42,0.0,32.08
2001-01-26,23.61,7.53,0.0,30.19
2001-01-27,25.06,6.23,0.0,31.65
2001-01-28,25.4,7.71,0.0,32.91
2001-01-29,25.37,6.19,0.0,35.08
2001-01-30,21.11,4.7,0.0,36.28
2001-01-31,20.45,5.43,0.0,26.65
2001-02-01,21.37,2.14,0.0,26.65
2001-02-02,22.86,2.04,0.0,27.44
2001-02-03,22.71,2.82,0.0,28.4
2001-02-04,22.43,6.37,0.0,23.17
2001-02-05,22.84,5.35,0.0,26.35
2001-02-06,23.8,6.69,0.0,25.16
2001-02-07,23.78,8.52,0.0,27.2
2001-02-08,26.07,6.03,0.0,32.24
2001-02-09,26.96,8.12,0.0,33.42
2001-02-10,26.9,5.63,0.0,29.39
2001-02-11,24.65,6.6,0.0,27.03
2001-02-12,25.42,2.72,0.0,23.97
2001-02-13,24.55,5.76,0.0,26.72
2001-02-14,26.32,10.38,0.0,39.21
2001-02-15,27.55,8.36,0.0,43.02
2001-02-16,25.81,13.2,0.0,32.48
2001-02-17,27.93,10.62,0.0,34.91
2001-02-18,27.83,10.81,0.0,31.55
2001-02-19,27.41,10.45,0.02,30.44
2001-02-20,27.42,12.41,0.01,47.86
2001-02-21,27.57,10.15,0.23,46.78
2001-02-22,29.34,13.33,0.01,31.18
2001-02-23,29.82,13.6,0.01,30.91
2001-02-24,28.0,10.74,0.44,40.01
2001-02-25,27.29,10.61,0.0,28.71
2001-02-26,26.69,6.24,0.02,17.28
2001-02-27,26.95,9.86,0.0,15.2
2001-02-28,28.05,8.75,0.0,17.9
2001-03-01,28.65,8.8,0.0,17.8
2001-03-02,29.21,10.62,0.0,16.52
2001-03-03,28.71,14.01,0.0,15.25
2001-03-04,29.46,9.89,0.0,15.25
2001-03-05,31.02,12.81,0.0,16.91
2001-03-06,32.36,9.61,0.0,19.49
2001-03-07,32.62,14.89,0.0,18.32
2001-03-08,33.17,12.85,0.0,18.71
2001-03-09,33.26,15.13,0.0,15.01
2001-03-10,34.26,14.3,0.0,15.84
2001-03-11,35.39,14.83,0.0,16.73
2001-03-12,34.86,15.54,0.03,17.05
2001-03-13,30.53,14.84,0.0,23.88
2001-03-14,31.63,11.2,0.01,17.25
2001-03-15,32.69,12.15,0.0,14.67
2002-01-15,23.24,7.37,0.0,30.96
2002-01-16,21.79,7.29,0.07,31.13
2002-01-17,19.63,4.55,0.37,54.44
2002-01-18,20.6,3.97,0.06,34.61
2002-01-19,21.28,6.63,0.0,31.36
2002-01-20,21.39,5.67,0.01,40.4
2002-01-21,21.8,6.09,0.0,43.74
2002-01-22,21.93,6.35,0.0,35.87
2002-01-23,22.11,6.13,0.0,25.26
2002-01-24,23.89,9.63,0.0,26.36
2002-01-25,21.71,6.99,0.01,40.33
2002-01-26,21.69,4.74,0.01,35.66
2002-01-27,22.9,4.64,0.0,20.61
2002-01-28,22.06,7.41,0.0,19.58
2002-01-29,23.15,7.46,0.0,16.38
2002-01-30,22.53,6.05,0.0,15.73
2002-01-31,22.44,6.48,0.0,16.26
2002-02-01,24.37,6.62,0.0,16.43
2002-02-02,21.94,6.87,0.0,24.33
2002-02-03,22.64,4.04,0.0,29.01
2002-02-04,23.72,6.97,0.0,16.25
2002-02-05,25.47,7.07,0.0,12.93
2002-02-06,21.92,4.84,0.0,18.32
2002-02-07,19.7,4.95,0.02,24.01
2002-02-08,20.09,5.29,0.01,28.96
2002-02-09,19.14,4.56,0.0,32.32
2002-02-10,21.47,1.85,0.0,24.89
2002-02-11,24.87,4.64,0.0,25.05
2002-02-12,22.65,5.29,0.0,57.93
2002-02-13,24.77,6.84,0.0,37.61
2002-02-14,26.52,9.19,0.0,21.21
2002-02-15,27.09,11.34,0.0,15.8
2002-02-16,28.64,14.14,0.0,16.55
2002-02-17,28.13,12.95,0.0,17.74
2002-02-18,28.45,9.9,0.0,21.75
2002-02-19,29.23,9.52,0.0,24.79
2002-02-20,29.79,15.33,0.4,20.93
2002-02-21,27.78,14.65,13.91,46.52
2002-02-22,20.82,11.18,4.32,73.97
2002-02-23,23.84,10.4,0.0,65.03
2002-02-24,24.92,8.56,0.0,60.01
2002-02-25,25.56,7.94,0.0,41.23
2002-02-26,22.68,10.62,4.41,48.09
2002-02-27,25.34,7.99,0.0,54.02
2002-02-28,28.84,10.99,0.38,44.85
2002-03-01,20.52,13.24,1.63,74.09
2002-03-02,22.37,11.22,2.81,68.63
2002-03-03,27.1,9.73,0.0,48.17
2002-03-04,29.04,11.33,0.0,31.47
2002-03-05,30.64,12.55,0.0,24.16
2002-03-06,31.35,13.44,0.0,22.61
2002-03-07,27.92,12.79,0.0,27.3
2002-03-08,28.34,14.21,1.61,30.62
2002-03-09,26.43,10.62,2.58,55.76
2002-03-10,27.15,10.26,0.0,57.07
2002-03-11,29.38,10.69,0.0,40.09
2002-03-12,31.1,14.32,0.0,30.68
2002-03-13,32.52,13.1,0.0,24.39
2002-03-14,32.98,15.54,0.0,21.12
2002-03-15,33.95,15.82,0.0,18.87
2003-01-15,22.67,7.55,0.0,27.77
2003-01-16,22.42,7.32,0.0,32.21
2003-01-17,21.41,7.91,0.0,32.96
2003-01-18,21.5,8.07,0.0,37.17
2003-01-19,21.88,5.78,0.0,36.43
2003-01-20,22.83,5.14,0.0,28.61
2003-01-21,24.43,10.72,0.0,25.51
2003-01-22,24.16,9.37,0.0,29.68
2003-01-23,25.57,9.55,0.0,35.37
2003-01-24,25.28,8.16,0.0,34.62
2003-01-25,25.4,8.78,0.0,28.16
2003-01-26,23.38,8.46,0.23,32.99
2003-01-27,22.57,7.84,0.01,54.71
2003-01-28,22.38,7.3,0.04,58.31
2003-01-29,21.26,7.4,0.24,56.9
2003-01-30,21.56,9.65,1.68,63.86
2003-01-31,19.97,9.27,0.73,66.93
2003-02-01,22.4,6.63,0.13,59.07
2003-02-02,21.16,6.17,0.0,58.3
2003-02-03,21.72,4.35,2.09,49.78
2003-02-04,24.17,7.16,0.0,36.04
2003-02-05,25.18,8.14,0.0,27.84
2003-02-06,25.42,11.05,0.0,26.99
2003-02-07,24.62,8.49,0.0,29.86
2003-02-08,24.04,7.2,0.0,31.19
2003-02-09,23.9,5.52,0.0,31.35
2003-02-10,24.63,6.79,0.0,28.21
2003-02-11,24.49,7.34,0.0,25.8
2003-02-12,26.58,11.24,0.0,24.29
2003-02-13,26.3,9.11,0.0,27.19
2003-02-14,26.84,12.01,0.0,25.24
2003-02-15,28.14,10.0,0.95,28.76
2003-02-16,23.71,12.25,2.66,55.29
2003-02-17,18.85,10.6,5.3,85.73
2003-02-18,18.06,10.98,5.5,83.64
2003-02-19,21.43,8.71,8.02,66.57
2003-02-20,22.61,5.73,1.66,52.13
2003-02-21,22.55,5.96,0.0,51.01
2003-02-22,26.82,10.04,0.01,40.96
2003-02-23,28.0,12.11,0.11,49.37
2003-02-24,28.57,12.11,0.15,55.49
2003-02-25,28.27,13.8,0.0,51.09
2003-02-26,29.96,13.38,0.0,49.7
2003-02-27,29.59,14.51,1.05,53.05
2003-02-28,30.47,15.07,0.0,50.62
2003-03-01,28.72,15.91,1.98,53.8
2003-03-02,25.05,12.25,4.03,49.61
2003-03-03,19.91,6.45,0.0,26.37
2003-03-04,22.67,2.95,0.0,26.85
2003-03-05,25.65,6.04,0.0,19.95
2003-03-06,28.62,10.09,0.0,20.88
2003-03-07,29.02,9.34,0.0,27.22
2003-03-08,26.57,11.59,0.0,30.5
2003-03-09,29.9,9.1,0.0,33.45
2003-03-10,29.04,9.25,0.0,44.44
2003-03-11,29.41,9.57,0.0,32.94
2003-03-12,31.03,12.83,0.0,24.89
2003-03-13,30.72,16.38,0.0,23.32
2003-03-14,29.86,17.11,0.0,24.33
2003-03-15,31.35,14.53,0.0,24.18
2004-01-15,25.94,12.75,0.0,30.35
2004-01-16,26.57,14.78,0.04,28.55
2004-01-17,23.15,10.9,1.76,49.1
2004-01-18,20.67,8.33,0.03,69.06
2004-01-19,22.15,9.98,0.0,47.99
2004-01-20,19.58,9.27,0.0,44.56
2004-01-21,16.15,9.94,1.55,72.55
2004-01-22,17.65,7.27,3.41,81.06
2004-01-23,18.96,7.2,1.02,70.09
2004-01-24,19.59,5.18,0.0,63.8
2004-01-25,20.29,9.06,0.0,47.54
2004-01-26,21.68,7.91,0.0,43.03
2004-01-27,21.31,8.0,0.0,40.54
2004-01-28,20.49,8.13,0.0,44.6
2004-01-29,19.39,7.89,2.49,60.85
2004-01-30,11.88,5.66,1.1,88.26
2004-01-31,18.06,5.31,0.0,69.8
2004-02-01,19.17,6.64,0.0,54.52
2004-02-02,21.45,3.75,0.0,42.13
2004-02-03,22.72,5.94,0.0,29.95
2004-02-04,24.15,5.96,0.0,27.39
2004-02-05,24.23,7.84,0.0,25.5
2004-02-06,25.16,8.46,0.0,26.25
2004-02-07,26.06,9.76,0.0,22.89
2004-02-08,26.13,8.46,0.1,26.38
2004-02-09,16.94,8.41,3.57,63.33
2004-02-10,20.69,7.02,0.04,70.09
2004-02-11,25.34,6.76,0.06,54.33
2004-02-12,26.73,8.83,0.0,38.19
2004-02-13,27.27,10.12,0.0,30.01
2004-02-14,26.69,11.47,0.0,30.46
2004-02-15,28.41,10.41,0.0,33.63
2004-02-16,29.84,11.67,0.0,29.01
2004-02-17,29.86,13.22,0.26,29.06
2004-02-18,27.86,10.28,0.01,45.71
2004-02-19,27.11,9.24,0.08,40.55
2004-02-20,27.97,12.31,0.0,30.35
2004-02-21,29.21,11.57,0.0,30.25
2004-02-22,29.16,10.58,0.0,37.54
2004-02-23,31.38,10.87,0.0,25.65
2004-02-24,33.42,14.27,0.0,18.37
2004-02-25,33.41,15.78,0.0,17.43
2004-02-26,32.91,13.83,0.0,18.88
2004-02-27,32.41,14.45,0.03,23.49
2004-02-28,31.49,12.28,0.06,30.04
2004-02-29,31.01,13.22,0.0,20.61
2004-03-01,30.32,12.57,0.0,22.28
2004-03-02,31.14,10.59,0.0,18.74
2004-03-03,33.08,12.69,0.0,13.07
2004-03-04,32.29,10.91,0.0,14.62
2004-03-05,33.32,14.66,0.0,15.18
2004-03-06,34.69,14.43,0.0,16.02
2004-03-07,37.76,14.98,0.0,12.78
2004-03-08,39.12,17.49,0.0,10.44
2004-03-09,34.56,13.65,0.0,17.54
2004-03-10,33.91,14.44,0.0,25.93
2004-03-11,34.93,17.26,0.0,23.25
2004-03-12,35.14,16.83,0.0,21.49
2004-03-13,36.74,17.49,0.0,20.62
2004-03-14,37.84,21.01,0.0,16.61
2004-03-15,39.97,22.26,0.0,13.0
2005-01-15,21.33,5.42,0.0,35.26
2005-01-16,21.75,4.78,0.0,28.26
2005-01-17,20.21,5.5,0.0,30.62
2005-01-18,20.79,5.75,0.0,28.4
2005-01-19,20.62,7.35,0.0,27.04
2005-01-20,21.61,6.19,0.27,26.73
2005-01-21,14.14,7.08,2.7,49.91
2005-01-22,17.51,4.83,10.49,83.07
2005-01-23,14.65,4.74,0.17,73.81
2005-01-24,16.12,6.91,0.21,61.31
2005-01-25,18.11,3.53,0.01,66.77
2005-01-26,21.74,4.96,0.03,56.22
2005-01-27,14.01,5.67,4.62,84.7
2005-01-28,17.93,5.39,0.0,72.4
2005-01-29,18.25,2.56,0.0,59.55
2005-01-30,19.41,2.3,0.0,45.88
2005-01-31,20.78,2.88,0.0,42.25
2005-02-01,21.16,3.38,0.0,32.02
2005-02-02,22.47,8.58,0.0,28.23
2005-02-03,22.04,8.01,0.0,32.77
2005-02-04,22.35,4.65,0.14,42.13
2005-02-05,15.85,7.55,2.01,69.29
2005-02-06,16.22,7.05,4.77,83.63
2005-02-07,16.56,6.89,1.74,84.82
2005-02-08,20.58,7.2,0.91,77.65
2005-02-09,18.33,11.04,5.04,87.84
2005-02-10,15.68,9.22,2.03,93.34
2005-02-11,23.24,11.26,0.03,72.91
2005-02-12,25.12,12.49,0.03,62.04
2005-02-13,23.79,9.42,0.0,58.91
2005-02-14,19.36,10.57,0.36,62.26
2005-02-15,20.93,10.2,4.07,72.99
2005-02-16,20.74,2.86,0.46,37.17
2005-02-17,20.81,3.68,0.0,45.15
2005-02-18,19.11,3.34,1.05,34.91
2005-02-19,18.61,5.21,3.2,45.57
2005-02-20,19.5,3.8,0.0,42.85
2005-02-21,20.88,4.49,0.0,36.34
2005-02-22,22.57,6.71,0.0,38.26
2005-02-23,22.26,9.6,0.0,35.03
2005-02-24,25.43,10.47,0.0,33.11
2005-02-25,26.16,8.86,0.0,41.83
2005-02-26,26.6,9.96,0.0,43.87
2005-02-27,26.64,15.02,2.47,42.65
2005-02-28,23.72,13.13,0.37,62.78
2005-03-01,19.45,12.73,0.81,80.83
2005-03-02,20.46,11.5,0.59,71.27
2005-03-03,28.5,10.35,0.0,60.29
2005-03-04,29.58,13.65,0.08,52.48
2005-03-05,30.13,15.85,0.18,48.43
2005-03-06,27.5,12.97,0.1,62.77
2005-03-07,29.88,15.58,0.0,43.64
2005-03-08,28.98,13.91,0.01,49.7
2005-03-09,21.29,14.46,1.45,63.09
2005-03-10,24.53,12.0,0.43,68.28
2005-03-11,29.95,11.81,0.0,50.84
2005-03-12,32.3,14.96,0.0,36.33
2005-03-13,34.5,16.52,0.0,31.07
2005-03-14,34.28,15.8,0.0,34.66
2005-03-15,33.89,17.63,0.12,41.69
2006-01-15,21.22,8.12,0.31,34.5
2006-01-16,24.36,9.76,0.97,68.45
2006-01-17,19.55,10.16,0.22,78.38
2006-01-18,22.18,10.1,0.1,64.56
2006-01-19,20.38,5.46,0.0,45.54
2006-01-20,20.85,5.67,0.0,30.4
2006-01-21,19.45,3.13,0.0,32.28
2006-01-22,20.63,6.21,0.0,23.32
2006-01-23,20.97,7.82,0.0,20.31
2006-01-24,21.4,3.68,0.0,27.67
2006-01-25,22.72,8.16,0.0,24.27
2006-01-26,22.42,6.44,0.0,24.5
2006-01-27,23.74,6.53,0.0,23.4
2006-01-28,23.3,9.87,0.0,22.72
2006-01-29,21.11,9.6,0.0,26.29
2006-01-30,26.8,9.61,0.0,28.05
2006-01-31,26.82,8.93,0.0,25.73
2006-02-01,26.42,12.12,0.0,25.38
2006-02-02,27.19,9.15,0.0,35.64
2006-02-03,29.7,10.06,0.0,32.36
2006-02-04,29.56,11.06,0.0,26.44
2006-02-05,29.23,11.68,0.0,18.23
2006-02-06,26.45,11.87,0.0,21.16
2006-02-07,28.46,10.75,0.0,21.64
2006-02-08,29.55,12.86,0.0,18.78
2006-02-09,29.87,10.71,0.0,25.01
2006-02-10,30.34,13.16,0.0,25.44
2006-02-11,31.5,13.8,0.0,20.75
2006-02-12,31.77,13.7,0.0,21.29
2006-02-13,29.17,15.67,0.0,25.81
2006-02-14,31.05,15.52,0.08,32.78
2006-02-15,30.33,13.77,0.0,41.92
2006-02-16,31.27,13.17,0.0,41.99
2006-02-17,30.98,13.07,0.0,40.11
2006-02-18,29.14,14.99,0.0,43.57
2006-02-19,28.7,17.02,0.03,47.77
2006-02-20,31.62,15.05,0.04,39.49
2006-02-21,30.21,13.6,0.0,33.2
2006-02-22,31.18,14.14,0.13,33.96
2006-02-23,29.92,13.2,0.06,41.22
2006-02-24,31.07,13.83,0.48,39.21
2006-02-25,26.07,14.75,4.5,52.02
2006-02-26,27.94,13.86,0.07,51.24
2006-02-27,28.36,10.84,0.2,44.56
2006-02-28,29.62,10.8,0.0,32.39
2006-03-01,31.45,14.97,0.0,19.38
2006-03-02,32.28,12.24,0.0,16.46
2006-03-03,31.71,12.18,0.0,18.95
2006-03-04,30.81,13.12,0.0,21.91
2006-03-05,30.56,12.66,0.01,30.55
2006-03-06,30.25,15.27,0.0,31.3
2006-03-07,30.64,13.1,0.45,39.66
2006-03-08,29.36,13.46,0.44,49.19
2006-03-09,25.56,15.01,0.18,58.23
2006-03-10,30.37,14.63,0.04,51.57
2006-03-11,31.27,14.75,0.12,49.35
2006-03-12,31.99,15.25,0.15,42.28
2006-03-13,26.49,16.78,1.37,61.22
2006-03-14,25.18,15.35,4.7,66.57
2006-03-15,27.05,13.45,0.05,55.08
2007-01-01,19.44,4.84,0.0,64.91
2007-01-02,19.6,4.92,0.0,60.16
2007-01-03,18.58,5.14,0.0,47.04
2007-01-04,18.34,3.41,0.0,39.07
2007-01-05,19.62,4.88,0.0,31.44
2007-01-06,18.36,4.13,0.0,35.28
2007-01-07,17.35,1.13,0.0,37.92
2007-01-08,18.33,4.16,0.0,33.78
2007-01-09,18.51,3.91,0.0,37.19
2007-01-10,18.33,4.64,0.0,40.88
2007-01-11,20.07,4.15,0.0,46.36
2007-01-12,20.19,4.72,0.0,38.9
2007-01-13,19.97,5.02,0.0,39.37
2007-01-14,19.96,6.22,0.0,38.29
2007-01-15,20.43,5.11,0.0,41.99
2007-01-16,21.48,5.41,0.0,39.92
2007-01-17,21.08,5.31,0.0,45.92
2007-01-18,20.63,6.5,0.0,47.47
2007-01-19,20.72,5.42,0.0,56.81
2007-01-20,20.41,3.82,0.0,53.44
2007-01-21,21.44,3.91,0.0,37.7
2007-01-22,21.75,3.3,0.0,33.13
2007-01-23,23.01,7.07,0.0,23.58
2007-01-24,22.12,8.11,0.0,28.78
2007-01-25,24.35,6.57,0.46,35.36
2007-01-26,26.58,11.38,0.54,49.1
2007-01-27,26.78,9.89,0.02,49.42
2007-01-28,25.65,8.55,0.0,52.33
2007-01-29,25.94,8.83,0.0,46.99
2007-01-30,27.92,12.2,0.0,37.99
2007-01-31,27.02,11.55,0.0,39.34
2007-02-01,28.57,10.38,0.0,33.89
2007-02-02,28.45,11.12,0.0,28.24
2007-02-03,25.38,10.85,0.0,40.79
2007-02-04,25.19,8.74,0.0,48.92
2007-02-05,25.62,11.12,0.49,49.44
2007-02-06,26.15,12.91,0.04,59.12
2007-02-07,27.28,12.92,0.0,48.84
2007-02-08,25.66,11.14,0.17,47.23
2007-02-09,19.9,13.28,1.0,66.82
2007-02-10,16.76,12.87,31.47,93.84
2007-02-11,18.21,9.32,3.23,84.09
2007-02-12,19.11,7.91,7.48,79.38
2007-02-13,17.66,9.37,5.65,77.11
2007-02-14,21.48,6.98,0.0,68.38
2007-02-15,19.48,8.94,5.29,73.13
2007-02-16,21.75,8.7,0.0,62.94
2007-02-17,22.56,8.88,2.47,59.56
2007-02-18,21.27,8.45,5.66,70.16
2007-02-19,22.11,6.95,0.21,72.9
2007-02-20,22.85,8.87,0.02,61.91
2007-02-21,24.57,8.65,2.16,69.0
2007-02-22,24.02,8.6,0.51,67.93
2007-02-23,24.57,7.02,0.0,48.71
2007-02-24,25.3,7.47,0.0,40.73
2007-02-25,25.96,11.39,0.0,37.94
2007-02-26,26.05,11.31,0.0,42.25
2007-02-27,18.48,12.31,1.98,73.28
2007-02-28,22.33,9.71,0.58,71.9
2007-03-01,23.75,8.71,0.0,56.91
2007-03-02,25.4,10.09,0.0,42.08
2007-03-03,25.49,11.55,0.0,43.2
2007-03-04,26.73,9.06,0.02,57.33
2007-03-05,25.8,9.29,0.01,57.28
2007-03-06,27.05,8.94,0.0,38.87
2007-03-07,29.32,11.25,0.0,30.56
2007-03-08,30.16,11.9,0.0,32.21
2007-03-09,28.76,13.24,1.02,43.28
2007-03-10,25.78,10.99,0.09,59.83
2007-03-11,17.16,12.41,14.6,79.22
2007-03-12,19.63,12.78,5.09,74.74
2007-03-13,22.97,9.03,0.0,63.39
2007-03-14,24.19,8.47,0.0,55.77
2007-03-15,25.44,10.05,0.0,51.51
2007-03-16,27.56,12.24,0.0,49.44
2007-03-17,30.31,14.13,0.0,48.53
2007-03-18,31.24,14.89,0.0,50.1
2007-03-19,32.66,17.31,6.45,58.19
2007-03-20,28.67,17.49,5.59,66.6
2007-03-21,27.09,14.06,2.94,67.06
2007-03-22,28.31,11.18,0.0,60.77
2007-03-23,30.31,11.57,0.0,45.68
2007-03-24,31.18,17.34,0.0,35.5
2007-03-25,32.19,15.14,0.0,35.19
2007-03-26,33.69,16.49,0.0,32.07
2007-03-27,35.08,18.03,0.0,29.67
2007-03-28,36.51,18.48,0.0,31.65
2007-03-29,38.39,17.75,0.0,37.41
2007-03-30,38.14,18.69,0.0,37.35
2007-03-31,37.93,19.72,0.0,25.84
2007-04-01,32.75,18.13,0.2,38.07
2007-04-02,32.4,12.9,0.01,35.8
2007-04-03,35.4,15.48,0.0,28.75
2007-04-04,36.04,18.85,0.0,27.23
2007-04-05,36.75,19.43,0.0,33.42
2007-04-06,36.97,21.36,0.02,35.75
2007-04-07,37.15,20.21,0.0,33.35
2007-04-08,37.08,20.21,0.14,33.69
2007-04-09,38.07,19.93,0.0,29.31
2007-04-10,41.01,22.1,0.0,25.77
2007-04-11,40.75,23.25,0.0,23.41
2007-04-12,41.89,25.33,0.0,19.27
2007-04-13,42.52,23.02,0.06,25.4
2007-04-14,42.72,21.71,0.0,22.04
2007-04-15,43.35,26.01,0.0,22.73
2007-04-16,43.79,26.45,1.58,27.51
2007-04-17,42.06,26.78,0.0,31.15
2007-04-18,42.12,28.15,0.93,29.48
2007-04-19,40.65,24.47,0.18,34.48
2007-04-20,40.12,23.71,0.08,33.6
2007-04-21,42.36,25.76,0.0,26.88
2007-04-22,43.26,23.7,0.0,22.08
2007-04-23,41.24,24.04,0.23,22.43
2007-04-24,41.56,22.73,0.0,21.89
2007-04-25,42.53,22.02,0.0,21.19
2007-04-26,43.06,23.01,0.0,18.45
2007-04-27,44.28,26.44,0.0,13.21
2007-04-28,44.66,23.72,0.0,16.69
2007-04-29,45.53,25.91,0.0,17.73
2007-04-30,45.2,26.39,0.0,16.8
2007-05-01,45.21,26.14,0.0,18.83
2007-05-02,46.26,28.03,0.0,18.61
2007-05-03,45.3,27.6,0.0,18.0
2007-05-04,43.6,27.88,0.4,21.9
2007-05-05,43.89,27.08,0.0,24.33
2007-05-06,45.14,28.47,0.0,20.6
2007-05-07,45.6,27.22,1.63,19.94
2007-05-08,43.52,26.21,2.37,25.68
2007-05-09,41.7,27.2,0.0,25.69
2007-05-10,43.95,27.06,0.0,20.38
2007-05-11,41.81,25.8,1.43,22.38
2007-05-12,43.47,26.65,0.0,17.18
2007-05-13,43.75,26.07,0.0,18.56
2007-05-14,45.54,28.51,0.0,17.2
2007-05-15,47.06,28.76,0.0,19.07
2007-05-16,45.79,31.96,0.02,23.41
2007-05-17,45.69,30.23,0.0,20.73
2007-05-18,46.88,29.33,0.0,18.06
2007-05-19,45.12,31.24,0.08,18.47
2007-05-20,44.05,30.52,0.0,16.69
2007-05-21,43.67,25.93,0.17,15.54
2007-05-22,42.28,27.41,0.13,23.72
